shape_id,lat,lon,shape_pt_sequence,shape_dist_traveled
S2_992_9_60,32.73144150,-117.20133972,150008,3.632000
S2_992_9_60,32.73141098,-117.20145416,150009,3.639000
S2_992_9_60,32.73136902,-117.20163727,150010,3.650000
S2_AIR_9_245,32.75485992,-117.19915009,10001,0.000000
S2_AIR_9_245,32.75462341,-117.19905853,10002,0.017000
S2_AIR_9_245,32.75432205,-117.19895172,10003,0.039000
S2_AIR_9_245,32.75425339,-117.19877625,10004,0.050000
S2_AIR_9_245,32.75435638,-117.19881439,10005,0.058000
S2_AIR_9_245,32.75446320,-117.19882965,10006,0.065000
S2_AIR_9_245,32.75458145,-117.19883728,10007,0.073000
S2_AIR_9_245,32.75465393,-117.19885254,10008,0.078000
S2_AIR_9_245,32.75473022,-117.19886780,10009,0.084000
S2_AIR_9_245,32.75487518,-117.19892120,10010,0.094000
S2_AIR_9_245,32.75501633,-117.19899750,10011,0.105000
S2_AIR_9_245,32.75516510,-117.19909668,10012,0.116000
S2_AIR_9_245,32.75523376,-117.19914246,10013,0.122000
S2_AIR_9_245,32.75529861,-117.19920349,10014,0.127000
S2_AIR_9_245,32.75535583,-117.19926453,10015,0.133000
S2_AIR_9_245,32.75539780,-117.19931030,10016,0.137000
S2_AIR_9_245,32.75550079,-117.19940948,10017,0.146000
S2_AIR_9_245,32.75556946,-117.19952393,10018,0.154000
S2_AIR_9_245,32.75561905,-117.19962311,10019,0.161000
S2_AIR_9_245,32.75558090,-117.19972229,10020,0.167000
S2_AIR_9_245,32.75555801,-117.19988251,10021,0.176000
S2_AIR_9_245,32.75544739,-117.20077515,10022,0.229000
S2_AIR_9_245,32.75541306,-117.20107269,10023,0.247000
S2_AIR_9_245,32.75462341,-117.20091248,10024,0.302000
S2_AIR_9_245,32.75437164,-117.20086670,10025,0.319000
S2_AIR_9_245,32.75421524,-117.20083618,10026,0.330000
S2_AIR_9_245,32.75410461,-117.20081329,10027,0.338000
S2_AIR_9_245,32.75406265,-117.20080566,10028,0.341000
S2_AIR_9_245,32.75319672,-117.20063019,10029,0.401000
S2_AIR_9_245,32.75150681,-117.20029449,10030,0.519000
S2_AIR_9_245,32.75118256,-117.20022583,10031,0.542000
S2_AIR_9_245,32.75043869,-117.20000458,10032,0.595000
S2_AIR_9_245,32.74971771,-117.19972229,10033,0.647000
S2_AIR_9_245,32.74921799,-117.19950104,10034,0.684000
S2_AIR_9_245,32.74876404,-117.19927216,10035,0.718000
S2_AIR_9_245,32.74833679,-117.19898224,10036,0.752000
S2_AIR_9_245,32.74795914,-117.19865417,10037,0.784000
S2_AIR_9_245,32.74761581,-117.19828033,10038,0.817000
S2_AIR_9_245,32.74760437,-117.19826508,10039,0.817000
S2_AIR_9_245,32.74713135,-117.19760132,10040,0.868000
S2_AIR_9_245,32.74615479,-117.19622040,10041,0.973000
S2_AIR_9_245,32.74562454,-117.19543457,10042,1.032000
S2_AIR_9_245,32.74546051,-117.19515228,10043,1.052000
S2_AIR_9_245,32.74469757,-117.19361877,10044,1.155000
S2_AIR_9_245,32.74460983,-117.19343567,10045,1.167000
S2_AIR_9_245,32.74454880,-117.19330597,10046,1.176000
S2_AIR_9_245,32.74430466,-117.19276428,10047,1.212000
S2_AIR_9_245,32.74390411,-117.19197083,10048,1.266000
S2_AIR_9_245,32.74362946,-117.19148254,10049,1.300000
S2_AIR_9_245,32.74334717,-117.19091034,10050,1.338000
S2_AIR_9_245,32.74287033,-117.18987274,10051,1.407000
S2_AIR_9_245,32.74235153,-117.18876648,10052,1.481000
S2_AIR_9_245,32.74182892,-117.18759918,10053,1.558000
S2_AIR_9_245,32.74169540,-117.18729401,10054,1.578000
S2_AIR_9_245,32.74154663,-117.18691254,10055,1.602000
S2_AIR_9_245,32.74023819,-117.18446350,10056,1.771000
S2_AIR_9_245,32.74000549,-117.18471527,10057,1.793000
S2_AIR_9_245,32.73954391,-117.18505859,10058,1.830000
S2_AIR_9_245,32.73920059,-117.18537903,10059,1.860000
S2_AIR_9_245,32.73908615,-117.18557739,10060,1.875000
S2_AIR_9_245,32.73753738,-117.18464661,10061,1.994000
S2_AIR_9_245,32.73636246,-117.18325043,10062,2.109000
S2_AIR_9_245,32.73548126,-117.17942047,10063,2.340000
S2_AIR_9_245,32.73409271,-117.17757416,10064,2.484000
S2_AIR_9_245,32.73298645,-117.17659760,10065,2.579000
S2_AIR_9_245,32.73286438,-117.17649078,10066,2.590000
S2_AIR_9_245,32.73286438,-117.17649078,20001,2.590000
S2_AIR_9_245,32.73221588,-117.17592621,20002,2.645000
S2_AIR_9_245,32.73128891,-117.17493439,20003,2.731000
S2_AIR_9_245,32.72985077,-117.17427063,20004,2.837000
S2_AIR_9_245,32.72817612,-117.17928314,20005,3.151000
S2_AIR_9_245,32.72778320,-117.18189240,20006,3.306000
S2_AIR_9_245,32.72781372,-117.18199921,20007,3.312000
S2_AIR_9_245,32.72859955,-117.18434906,20008,3.460000
S2_AIR_9_245,32.72877121,-117.18505096,20009,3.502000
S2_AIR_9_245,32.72884750,-117.18550873,20010,3.529000
S2_AIR_9_245,32.72892380,-117.18623352,20011,3.572000
S2_AIR_9_245,32.72900391,-117.18792725,20012,3.671000
S2_AIR_9_245,32.72916412,-117.19097900,20013,3.849000
S2_AIR_9_245,32.72916794,-117.19108582,20014,3.855000
S2_AIR_9_245,32.72918701,-117.19145966,20015,3.877000
S2_AIR_9_245,32.72925949,-117.19277954,20016,3.954000
S2_AIR_9_245,32.72927475,-117.19299316,20017,3.966000
S2_AIR_9_245,32.72953415,-117.19419861,20018,4.039000
S2_AIR_9_245,32.72988129,-117.19469452,20019,4.076000
S2_AIR_9_245,32.73020172,-117.19507599,20020,4.108000
S2_AIR_9_245,32.73033142,-117.19521332,20021,4.120000
S2_AIR_9_245,32.73054886,-117.19541168,20022,4.139000
S2_AIR_9_245,32.73077393,-117.19563293,20023,4.159000
S2_AIR_9_245,32.73146057,-117.19652557,20024,4.229000
S2_AIR_9_245,32.73170090,-117.19678497,20025,4.251000
S2_AIR_9_245,32.73186874,-117.19703674,20026,4.270000
