iter,control,mean_adj,min_adj,max_adj,std_adj,mean_weight,min_weight,max_weight,sd_weight
1,tot_emp,3.699110572063877,1,9.097331716191631,4.674996646060933,2.114948098823712,1,9.097331716191631,2.7904519880685728
1,pax_depart,2.3325275874974714,1,3.5700792392230354,1.2876692685830187,30.039583838986363,2.4275035232693782,1820.4749212503027,167.96121982033353
1,bus992_depart,0.9807396383219609,0.9422189149658825,1,0.033359924998516394,30.03121928692102,2.2872397357707306,1820.4749212503027,167.96200488937396
1,flyer_depart,0.9492707834337935,0.8478123503013804,1,0.08786558052083451,29.31897472972904,2.058067467427893,1820.4749212503027,164.96025562987262
2,tot_emp,1.0001964592481416,1,1.0005893777444246,3.402773993979055e-4,29.319713008674775,2.058067467427893,1820.4749212503027,164.96016511940235
2,pax_depart,0.905236196828335,0.8501949369127039,1,0.08242450827085837,13.211865161155112,1.781285493031809,687.5365434855095,55.09823741360617
2,bus992_depart,1.0601535821504813,1,1.1804607464514436,0.10418906054190177,13.23090114974992,1.781285493031809,687.5365434855095,55.09726107526491
2,flyer_depart,0.9430701652313507,0.8292104956940519,1,0.09860536628580187,13.114846859626983,1.4770606266495299,687.5365434855095,54.99572451044382
3,tot_emp,1.0000000000057871,1,1.0000000000173612,1.0023507101940441e-11,13.114846859648743,1.4770606266495299,687.5365434855095,54.99572451044223
3,pax_depart,0.9074321342219313,0.849351287026097,1,0.0810294669746253,7.0980050051902115,1.289392859537417,258.1189452092525,19.477190615544682
3,bus992_depart,1.0524547731646552,1,1.1573643194939656,0.0908543322206833,7.114984530013215,1.289392859537417,258.1189452092525,19.479898523314844
3,flyer_depart,0.9376456100270794,0.8129368300812382,1,0.10800097150806184,7.089126842627355,1.0481949439617309,258.1189452092525,19.4816161311464
4,tot_emp,1,1,1,0,7.089126842627355,1.0481949439617309,258.1189452092525,19.4816161311464
4,pax_depart,0.9205568423294219,0.8608209726367688,1,0.07165182003290227,4.807634885669341,0.6320546466846203,105.0260224312935,8.249457795932578
4,bus992_depart,1.0433811312912078,1,1.1301433938736236,0.07513832348618808,4.822080548739739,0.6320546466846203,105.0260224312935,8.25838862540345
4,flyer_depart,0.9655310254144249,0.8965930762432749,1,0.05970201526701635,4.816894354232748,0.26394757409951525,105.0260224312935,8.260580358152303
5,tot_emp,1,1,1,0,4.816894354232748,0.26394757409951525,105.0260224312935,8.260580358152303
5,pax_depart,0.951346166459925,0.9004268452248532,1,0.04982522066023364,4.043590683617444,0.18204749212503027,55.97415231776056,5.133451865412738
5,bus992_depart,1.02301386359853,1,1.0690415907955901,0.039861181031113954,4.0518178980492054,0.18204749212503027,55.97415231776056,5.142927848132438
5,flyer_depart,1.0221964216821273,1,1.0665892650463822,0.03844533009966809,4.0541503609468235,0.30490346998583373,55.97415231776056,5.141514140471812
6,tot_emp,1,1,1,0,4.0541503609468235,0.30490346998583373,55.97415231776056,5.141514140471812
6,pax_depart,0.9849363277905099,0.9623187581574735,1,0.01994404726761442,3.886167760548055,0.2870597303243133,44.45301620728523,4.547257241988108
6,bus992_depart,1.0059614936663024,1,1.0178844809989072,0.010325609919035795,3.888451485861072,0.2870597303243133,44.45301620728523,4.550516955005177
6,flyer_depart,1.0072197148604956,1,1.0216591445814869,0.012504912954538473,3.889259810339745,0.3407379336311593,44.45301620728523,4.549995152908113
7,tot_emp,1,1,1,0,3.889259810339745,0.3407379336311593,44.45301620728523,4.549995152908113
7,pax_depart,0.9985845800452888,0.9960658369444629,1,0.002186870186008431,3.8755744397003187,0.3398881165807311,43.413970162109216,4.503304674672398
7,bus992_depart,1.0005232394704515,1,1.0015697184113548,9.062773473475946e-4,3.875779821747367,0.3398881165807311,43.413970162109216,4.5036117005615885
7,flyer_depart,1.000601291760146,1,1.0018038752804377,0.0010414678787452082,3.8758493719854217,0.3448241222919363,43.413970162109216,4.503566819963143
8,tot_emp,1,1,1,0,3.8758493719854217,0.3448241222919363,43.413970162109216,4.503566819963143
8,pax_depart,0.9999770551427748,0.9999462895706422,1,2.7696123225029163e-5,3.875611598319271,0.3447824031475673,43.39998134272547,4.502824674290877
8,bus992_depart,1.0000096556750893,1,1.0000289670252678,1.6724119835974736e-5,3.8756153973368517,0.3447824031475673,43.39998134272547,4.502830375489836
8,flyer_depart,1.0000108615041148,1,1.0000325845123443,1.8812676973414954e-5,3.875616657532204,0.3448722899300474,43.39998134272547,4.502829562768624
9,tot_emp,1,1,1,0,3.875616657532204,0.3448722899300474,43.39998134272547,4.502829562768624
9,pax_depart,0.9999997877030827,0.9999996377788495,1,1.8899419107819788e-7,3.8756142156014843,0.3448715321233007,43.39988702046384,4.502822700765768
9,bus992_depart,1.0000001030700834,1,1.0000003092102503,1.7852262124302272e-7,3.8756142561561133,0.3448715321233007,43.39988702046384,4.502822761630571
9,flyer_depart,1.000000107391345,1,1.0000003221740346,1.8600726558003846e-7,3.8756142686167894,0.3448724209935263,43.39988702046384,4.502822753594566
10,tot_emp,1,1,1,0,3.8756142686167894,0.3448724209935263,43.39988702046384,4.502822753594566
10,pax_depart,0.999999997807447,0.9999999962996697,1,1.9428843069127487e-9,3.8756142433241316,0.3448724130550355,43.39988605690036,4.502822682726473
10,bus992_depart,1.0000000010690768,1,1.0000000032072303,1.8516952534734551e-9,3.875614243744778,0.3448724130550355,43.39988605690036,4.502822683357783
10,flyer_depart,1.000000001112116,1,1.0000000033363479,1.926241337763848e-9,3.8756142438738173,0.3448724222599503,43.39988605690036,4.502822683274564
