iter,control,mean_adj,min_adj,max_adj,std_adj,mean_weight,min_weight,max_weight,sd_weight
1,tot_emp,5.4109740670461735,1,14.23292220113852,7.640031194992699,2.283950275796109,1,14.23292220113852,3.917323375154653
1,pax_depart,2.4478018484950392,1,3.8534754163877527,1.427204113643944,35.46249201638648,2.489930129097365,1917.585502807555,188.70896160686615
1,bus992_depart,1.0606386505370244,1,1.1819159516110735,0.10502922363254025,35.48369764544938,2.489930129097365,1917.585502807555,188.70637542766977
1,flyer_depart,0.9494225498175816,0.8482676494527448,1,0.08760271343323245,34.577732345955006,2.1121271779109914,1917.585502807555,184.79332511748348
2,tot_emp,1.0003530224264043,1,1.0010590672792128,6.114527787434281e-4,34.5791948937638,2.1121271779109914,1917.585502807555,184.79316411505587
2,pax_depart,0.9049125538306151,0.8490468232267292,1,0.08276758195943187,15.472346460202184,1.8284491471682998,718.3640428815174,61.539699551188086
2,bus992_depart,1.0534619911981256,1,1.160385973594377,0.0925988850289537,15.49143494435004,1.8284491471682998,718.3640428815174,61.53880299491294
2,flyer_depart,0.9439660431746097,0.8318981295238292,1,0.09705366017069679,15.349219224880228,1.5210834254587493,718.3640428815174,61.38739954540726
3,tot_emp,1.0000000000186806,1,1.0000000000560418,3.2355770161089844e-11,15.349219224957702,1.5210834254587493,718.3640428815174,61.38739954540588
3,pax_depart,0.9060792816196634,0.8468382905027352,1,0.08225958865888779,8.18456822056311,1.3254714190834405,264.93998453875355,21.84778445590293
3,bus992_depart,1.053099718231118,1,1.159299154693354,0.09197140984388776,8.203540256105986,1.3254714190834405,264.93998453875355,21.851590615247318
3,flyer_depart,0.9398962363245918,0.8196887089737755,1,0.10410277241191965,8.174447953774306,1.0864739562901435,264.93998453875355,21.850874509964104
4,tot_emp,1,1,1.0000000000000002,1.5700924586837752e-16,8.174447953774308,1.0864739562901435,264.93998453875355,21.850874509964104
4,pax_depart,0.9172930766007659,0.8568264783630926,1,0.07413257294838396,5.430425280443157,0.7997304247708834,104.8346332936238,9.487302077946934
4,bus992_depart,1.0434651632298424,1,1.1303954896895272,0.0752838710733616,5.446419523036919,0.7997304247708834,104.8346332936238,9.499793135101855
4,flyer_depart,0.9679402978116518,0.9038208934349555,1,0.05552903306574613,5.441124406435729,0.35612513868202916,104.8346332936238,9.501847633389279
5,tot_emp,1,0.9999999999999999,1,7.850462293418876e-17,5.441124406435729,0.35612513868202916,104.8346332936238,9.501847633389279
5,pax_depart,0.9470141469496216,0.8961388581265355,1,0.05196272759231491,4.4857763075587345,0.22630940185740547,54.294599924509484,6.139515752882802
5,bus992_depart,1.0235529844989137,1,1.0706589534967412,0.040794965822000796,4.495056169588521,0.22630940185740547,54.294599924509484,6.153373412065049
5,flyer_depart,1.026150886019041,1,1.0784526580571225,0.04529466324792136,4.498031025039966,0.4141057665857626,54.294599924509484,6.1517564602564745
6,tot_emp,1,1,1,0,4.498031025039966,0.4141057665857626,54.294599924509484,6.1517564602564745
6,pax_depart,0.9829904466924253,0.9600731422357287,1,0.020608605859253355,4.2831989764999605,0.3787249891075741,42.51895291769856,5.522370448965041
6,bus992_depart,1.0059136338635644,1,1.0177409015906933,0.010242714309053439,4.285698812825715,0.3787249891075741,42.51895291769856,5.527070193774653
6,flyer_depart,1.0077281495840213,1,1.0231844487520643,0.013385547728017389,4.286649201292606,0.45494134543238335,42.51895291769856,5.526535620828658
7,tot_emp,1,1,1,0,4.286649201292606,0.45494134543238335,42.51895291769856,5.526535620828658
7,pax_depart,0.9984201840983459,0.9957747701241653,1,0.0023053776946610816,4.269469188603606,0.45307319863855217,41.452360961726775,5.47805834425219
7,bus992_depart,1.0004735635630249,1,1.0014206906890744,8.20236151772274e-4,4.269674232241837,0.45307319863855217,41.452360961726775,5.478461076718837
7,flyer_depart,1.0006607589285181,1,1.0019822767855542,0.0011444680357480532,4.269758490471951,0.4603081774607187,41.452360961726775,5.478413960472839
8,tot_emp,1,1,1,0,4.269758490471951,0.4603081774607187,41.452360961726775,5.478413960472839
8,pax_depart,0.9999762143714973,0.9999449145954352,1,2.8301011628099727e-5,4.269485436359084,0.460248261707114,41.43866232789253,5.477696376243998
8,bus992_depart,1.0000087995215692,1,1.0000263985647073,1.5241218439990665e-5,4.269489254398844,0.460248261707114,41.43866232789253,5.477703897783149
8,flyer_depart,1.000011052429894,1,1.0000331572896821,1.9143370123568942e-5,4.269490668800283,0.46037036055555636,41.43866232789253,5.477703107702332
9,tot_emp,1,1,1,0,4.269490668800283,0.46037036055555636,41.43866232789253,5.477703107702332
9,pax_depart,0.9999998020340823,0.999999690471626,1,1.7190439835729172e-7,4.269488101140466,0.4603693132347307,41.43858536930144,5.477697100105701
9,bus992_depart,1.0000000970626248,1,1.0000002911878747,1.6811739784360424e-7,4.269488143256799,0.4603693132347307,41.43858536930144,5.4776971830793775
9,flyer_depart,1.0000000990755213,1,1.000000297226564,1.7160383675173056e-7,4.269488155936457,0.4603704079077827,41.43858536930144,5.477697175996688
10,tot_emp,1,1,1,0,4.269488155936457,0.4603704079077827,41.43858536930144,5.477697175996688
10,pax_depart,0.9999999979883893,0.9999999969619177,1,1.7422284758148329e-9,4.269488129632997,0.46037039687086445,41.43858461393844,5.477697114924889
10,bus992_depart,1.0000000010024612,1,1.0000000030073835,1.7363136463650686e-9,4.269488130067974,0.46037039687086445,41.43858461393844,5.477697115781841
10,flyer_depart,1.0000000010064511,1,1.0000000030193532,1.743224389667394e-9,4.269488130196779,0.46037040799103124,41.43858461393844,5.4776971157098915
